Field,Activity,Activity Description,Operation Seq,Component,Component Description,UOM,Quantity
JAS,CEDE-H18000-01,Job for Mechanic Cummins engine model KTA-50-G9 18000 hrs service,170,1004785,"KIT, TYPE ELIMINATOR, APP LUBRICATION OIL CLR CVN, MFG CUMMINS, P/N 3633026",SET,1
JAS,CEDE-H18000-01,Job for Mechanic Cummins engine model KTA-50-G9 18000 hrs service,140,1004411,"OIL, ENGINE, SAE 15W-40, API CI-4, CONTAINER DRUM 209L, MFG CUMMINS, P/N 200L-CI4",DRM,1
JAS,CEDE-H18000-01,Job for Mechanic Cummins engine model KTA-50-G9 18000 hrs service,150,1002518,"ELEMENT, FILTER, TYPE OIL - SPIN-ON, SIZE 120.27 X 287.27 MM, MFG FLEETGUARD, P/N LF3325",PCS,5
JAS,CEDE-H18000-01,Job for Mechanic Cummins engine model KTA-50-G9 18000 hrs service,160,1002517,"ELEMENT, FILTER, TYPE OIL, SPIN-ON, SIZE 116.08 X 249.2MM., FILTER RETENTION 5 MICRON, MFG FLEETGUARD, P/N LF777",PCS,2
JAS,CEDE-H18000-01,Job for Mechanic Cummins engine model KTA-50-G9 18000 hrs service,180,1002602,"ELEMENT, FILTER,  TYPE FUEL/WATER SEPARATOR, SIZE 4.7 X 9.6 IN, FILTER RETENTION 30 MICRON, MATL MICRO-GLASS FIBRE, MFG PARKER, P/N 2020PM-OR",PCS,3
JAS,CEDE-H18000-01,Job for Mechanic Cummins engine model KTA-50-G9 18000 hrs service,190,1002651,"ELEMENT, FILTER, TYPE FUEL/WATER SEPARATOR SPIN ON, SIZE 120.29 X 313MM., MFG FLEETGUARD, P/N FS1006",PCS,2
JAS,CEDE-H18000-01,Job for Mechanic Cummins engine model KTA-50-G9 18000 hrs service,260,1002516,"ELEMENT, FILTER, TYPE WATER, SPIN-ON, SIZE 93.73 X 137.92MM., FILTER RETENTION 60 MICRON, MATL CELLULOSE, MFG FLEETGUARD, P/N WF2076",PCS,2
JAS,CEDE-H18000-01,Job for Mechanic Cummins engine model KTA-50-G9 18000 hrs service,270,1002655,"ELEMENT, FILTER, TYPE AIR PRIMARY, SIZE 384.05 X 622.3MM., MFG FLEETGUARD, P/N AF25544",PCS,2
JAS,CEDE-H18000-01,Job for Mechanic Cummins engine model KTA-50-G9 18000 hrs service,280,1002656,"ELEMENT, FILTER, TYPE AIR SECONDARY, SIZE 251.21 X 596.9MM., MFG FLEETGUARD, P/N AF25545",PCS,2
JAS,CEDE-H18000-01,Job for Mechanic Cummins engine model KTA-50-G9 18000 hrs service,310,1002733,"DUPLICATED, PLEASE USE ITEM 1003275",PCS,1
JAS,CEDE-H18000-01,Job for Mechanic Cummins engine model KTA-50-G9 18000 hrs service,310,1003275,OBSOLETE ITEM,EA,1
JAS,CEDE-H18000-01,Job for Mechanic Cummins engine model KTA-50-G9 18000 hrs service,260,1016043,"ELEMENT, COOLANT FILTER, EXTENDEDER, THREAD SIZE 11/16-16 UN-2B  FOR KTA50 ENGINE, MFG CUMMINS, P/N WF2121",EA,2
JAS,CEDE-H18000-01,Job for Mechanic Cummins engine model KTA-50-G9 18000 hrs service,310,1026189,"BELT, TYPE RIBBED FOR QSK78 ENGINE, MFG CUMMINS, P/N 5412990",EA,1
JAS,EEVS-Y03-01,Job for ABB VSD ACS800 - 3 Yearly Service,10,1024597,"FILTER, DOOR FILTER, TYPE MEDIA HOLDING FRAME, PRE FILTER SIZE 520 X 690 X 48 MM., ARRESTANCE EFFICIENCY 92%, CLASS G4, MEDIA SYNTHETIC FIBRES, FRAME EXTRUDE ALUMINIUM, MFG CAMFIL GROUP, P/N MHF",EA,1
JAS,EEVS-Y03-01,Job for ABB VSD ACS800 - 3 Yearly Service,20,1024598,"FILTER, DOOR FILTER, TYPE MEDIA HOLDING FRAME, PRE FILTER, SIZE 290 X 520 X 48 MM., ARRESTANCE EFFICIENCY 92%, CLASS G4, MEDIA SYNTHETIC FIBRES, FRAME EXTRUDE ALUMINIUM, MFG CAMFIL GROUP, P/N MHF",EA,1
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",220,1002516,"ELEMENT, FILTER, TYPE WATER, SPIN-ON, SIZE 93.73 X 137.92MM., FILTER RETENTION 60 MICRON, MATL CELLULOSE, MFG FLEETGUARD, P/N WF2076",PCS,2
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",60,1006795,"PUMP, FUEL INJECTION, TYPE PT TYPE G, RATING 1800RPM, C/W FUEL CONTROL DAMPER, FILTER, S/O VALVE AND GOVERNOR, MFG CUMMINS, P/N 3075537",PCS,1
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",120,1002518,"ELEMENT, FILTER, TYPE OIL - SPIN-ON, SIZE 120.27 X 287.27 MM, MFG FLEETGUARD, P/N LF3325",PCS,5
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",130,1002517,"ELEMENT, FILTER, TYPE OIL, SPIN-ON, SIZE 116.08 X 249.2MM., FILTER RETENTION 5 MICRON, MFG FLEETGUARD, P/N LF777",PCS,2
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",190,1002916,"COOLANT, ENGINE, TYPE ETHYLENE GLYCOL, CONTAINER 5 GAL, MFG CUMMINS, P/N CC2848",PAI,2
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",230,1002655,"ELEMENT, FILTER, TYPE AIR PRIMARY, SIZE 384.05 X 622.3MM., MFG FLEETGUARD, P/N AF25544",PCS,2
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",240,1002656,"ELEMENT, FILTER, TYPE AIR SECONDARY, SIZE 251.21 X 596.9MM., MFG FLEETGUARD, P/N AF25545",PCS,2
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",110,1004411,"OIL, ENGINE, SAE 15W-40, API CI-4, CONTAINER DRUM 209L, MFG CUMMINS, P/N 200L-CI4",DRM,1
JAS,CEDE-H6000-02,"Job for Mechanic Cummins engine model KTA-50-G3/G9 6,000 hr service",140,1002602,"ELEMENT, FILTER,  TYPE FUEL/WATER SEPARATOR, SIZE 4.7 X 9.6 IN, FILTER RETENTION 30 MICRON, MATL MICRO-GLASS FIBRE, MFG PARKER, P/N 2020PM-OR",PCS,3
