Field,Activity,RowID,Activity Description,Reporting Name,Operation Seq,Department Code,Long Description,Required / Std Spec
JAS,AIMC-M06-01,1,Job for AIM PLE Color Coding (Green) Inspection-6M Service,"CHANGE TO ""GREEN""-6 MONTHLY",10,AIM,Open work permit/JSA,
JAS,AIMC-M06-01,2,Job for AIM PLE Color Coding (Green) Inspection-6M Service,"CHANGE TO ""GREEN""-6 MONTHLY",20,AIM,Visually inspect (VT),
JAS,AIMC-M06-01,3,Job for AIM PLE Color Coding (Green) Inspection-6M Service,"CHANGE TO ""GREEN""-6 MONTHLY",30,AIM,Carry out NDT (MT/PT/ET/etc),
JAS,AIMC-M06-01,4,Job for AIM PLE Color Coding (Green) Inspection-6M Service,"CHANGE TO ""GREEN""-6 MONTHLY",40,AIM,Apply color code (by paint or sticker),
JAS,AIMC-M06-01,5,Job for AIM PLE Color Coding (Green) Inspection-6M Service,"CHANGE TO ""GREEN""-6 MONTHLY",50,AIM,Close work permit,
JAS,AIMC-M06-02,6,Job for AIM PLE Color Coding (Orange) Inspection-6M Service,"CHANGE TO ""ORANGE""-6 MONTHLY",10,AIM,Open work permit/JSA,
JAS,AIMC-M06-02,7,Job for AIM PLE Color Coding (Orange) Inspection-6M Service,"CHANGE TO ""ORANGE""-6 MONTHLY",20,AIM,Visually inspect (VT),
JAS,AIMC-M06-02,8,Job for AIM PLE Color Coding (Orange) Inspection-6M Service,"CHANGE TO ""ORANGE""-6 MONTHLY",30,AIM,Carry out NDT (MT/PT/ET/etc),
JAS,AIMC-M06-02,9,Job for AIM PLE Color Coding (Orange) Inspection-6M Service,"CHANGE TO ""ORANGE""-6 MONTHLY",40,AIM,Apply color code (by paint or sticker),
JAS,AIMC-M06-02,10,Job for AIM PLE Color Coding (Orange) Inspection-6M Service,"CHANGE TO ""ORANGE""-6 MONTHLY",50,AIM,Close work permit,
JAS,AIMC-M06-03,11,Job for AIM PLE Color Coding (Yellow) Inspection-6M Service,"CHANGE TO ""YELLOW""-6 MONTHLY",10,AIM,Open work permit/JSA,
JAS,AIMC-M06-03,12,Job for AIM PLE Color Coding (Yellow) Inspection-6M Service,"CHANGE TO ""YELLOW""-6 MONTHLY",20,AIM,Visually inspect (VT),
JAS,AIMC-M06-03,13,Job for AIM PLE Color Coding (Yellow) Inspection-6M Service,"CHANGE TO ""YELLOW""-6 MONTHLY",30,AIM,Carry out NDT (MT/PT/ET/etc),
JAS,AIMC-M06-03,14,Job for AIM PLE Color Coding (Yellow) Inspection-6M Service,"CHANGE TO ""YELLOW""-6 MONTHLY",40,AIM,Apply color code (by paint or sticker),
JAS,AIMC-M06-03,15,Job for AIM PLE Color Coding (Yellow) Inspection-6M Service,"CHANGE TO ""YELLOW""-6 MONTHLY",50,AIM,Close work permit,
JAS,AIMC-M06-04,16,Job for AIM PLE Color Coding (Blue) Inspection-6M Service,"CHANGE TO ""BLUE""-6 MONTHLY",10,AIM,Open work permit/JSA,
JAS,AIMC-M06-04,17,Job for AIM PLE Color Coding (Blue) Inspection-6M Service,"CHANGE TO ""BLUE""-6 MONTHLY",20,AIM,Visually inspect (VT),
JAS,AIMC-M06-04,18,Job for AIM PLE Color Coding (Blue) Inspection-6M Service,"CHANGE TO ""BLUE""-6 MONTHLY",30,AIM,Carry out NDT (MT/PT/ET/etc),
JAS,AIMC-M06-04,19,Job for AIM PLE Color Coding (Blue) Inspection-6M Service,"CHANGE TO ""BLUE""-6 MONTHLY",40,AIM,Apply color code (by paint or sticker),
JAS,AIMC-M06-04,20,Job for AIM PLE Color Coding (Blue) Inspection-6M Service,"CHANGE TO ""BLUE""-6 MONTHLY",50,AIM,Close work permit,
JAS,AIMC-Y01-02,21,Job for AIM PLE Color Coding (PINK) Inspection-1Y Service,,10,AIM,Open workpermit/JSA,
JAS,AIMC-Y01-02,22,Job for AIM PLE Color Coding (PINK) Inspection-1Y Service,,20,AIM,Visually inspect (VT),
JAS,AIMC-Y01-02,23,Job for AIM PLE Color Coding (PINK) Inspection-1Y Service,,30,AIM,Carry out NDT (MT/PT/ET/etc),
JAS,AIMC-Y01-02,24,Job for AIM PLE Color Coding (PINK) Inspection-1Y Service,,40,AIM,Apply color code (by paint or sticker),
JAS,AIMC-Y01-02,25,Job for AIM PLE Color Coding (PINK) Inspection-1Y Service,,50,AIM,Close work permit,
JAS,AIMC-Y01-03,26,Job for AIM PLE Color Coding (ORANGE) Inspection-1Y Service,,10,AIM,Open workpermit/JSA,
JAS,AIMC-Y01-03,27,Job for AIM PLE Color Coding (ORANGE) Inspection-1Y Service,,20,AIM,Visually inspect (VT),
JAS,AIMC-Y01-03,28,Job for AIM PLE Color Coding (ORANGE) Inspection-1Y Service,,30,AIM,Carry out NDT (MT/PT/ET/etc),
JAS,AIMC-Y01-03,29,Job for AIM PLE Color Coding (ORANGE) Inspection-1Y Service,,40,AIM,Apply color code (by paint or sticker),
JAS,AIMC-Y01-03,30,Job for AIM PLE Color Coding (ORANGE) Inspection-1Y Service,,50,AIM,Close work permit,
JAS,AIMC-Y01-04,31,Job for AIM PLE Color Coding (PURPLE) Inspection-1Y Service,,10,AIM,Open workpermit/JSA,
JAS,AIMC-Y01-04,32,Job for AIM PLE Color Coding (PURPLE) Inspection-1Y Service,,20,AIM,Visually inspect (VT),
JAS,AIMC-Y01-04,33,Job for AIM PLE Color Coding (PURPLE) Inspection-1Y Service,,30,AIM,Carry out NDT (MT/PT/ET/etc),
JAS,AIMC-Y01-04,34,Job for AIM PLE Color Coding (PURPLE) Inspection-1Y Service,,40,AIM,Apply color code (by paint or sticker),
JAS,AIMC-Y01-04,35,Job for AIM PLE Color Coding (PURPLE) Inspection-1Y Service,,50,AIM,Close work permit,
JAS,AIMC-Y01-05,36,Job for AIM PLE Color Coding (YELLOW) Inspection-1Y Service,,10,AIM,Open workpermit/JSA,
