Field,RowId,Schedule Name,Asset Route Flag,Asset Number,Asset Description,Asset Group,Asset Group Description,Activity,Activity Department,SCE
JAS,1,PM-WPD-E&I AIR COMPRESSOR B K4010B,N,WPD-K4010B,WPD-AIR COMPRESSOR PACKAGE UNIT B,COSC-ATLAS-GA75PLUS,"AIR COMPRESSOR , ATLAS COPCO, MODEL GA75PLUS",COSC-M03-02,E&I,NON SCE
JAS,2,PM-WPD-E&I AIR COMPRESSOR B K4010B,N,WPD-K4010B,WPD-AIR COMPRESSOR PACKAGE UNIT B,COSC-ATLAS-GA75PLUS,"AIR COMPRESSOR , ATLAS COPCO, MODEL GA75PLUS",COSC-Y01-02,E&I,NON SCE
JAS,3,PM-WPD-E&I CRUDE MOTOR A P1400A,N,WPD-P1400A,WPD-CRUDE OIL PUMP PACKAGE A,PUSC-BNM-W8.5Z62,"CRUDE OIL PUMP, BORNEMANN PUMP, MODEL W8.5Z-62",EMAC-Y01-09,E&I,NON SCE
JAS,4,PM-WPD-MEC AIR COMPRESSOR A K4010A,N,WPD-K4010A,WPD-AIR COMPRESSOR PACKAGE UNIT A,COSC-ATLAS-GA75PLUS,"AIR COMPRESSOR , ATLAS COPCO, MODEL GA75PLUS",COSC-M03-01,MECH,NON SCE
JAS,5,PM-WPD-MEC AIR COMPRESSOR A K4010A,N,WPD-K4010A,WPD-AIR COMPRESSOR PACKAGE UNIT A,COSC-ATLAS-GA75PLUS,"AIR COMPRESSOR , ATLAS COPCO, MODEL GA75PLUS",COSC-M06-01,MECH,NON SCE
JAS,6,PM-WPD-MEC AIR COMPRESSOR A K4010A,N,WPD-K4010A,WPD-AIR COMPRESSOR PACKAGE UNIT A,COSC-ATLAS-GA75PLUS,"AIR COMPRESSOR , ATLAS COPCO, MODEL GA75PLUS",COSC-Y01-01,MECH,NON SCE
JAS,7,PM-WPD-MEC AIR COMPRESSOR A K4010A,N,WPD-K4010A,WPD-AIR COMPRESSOR PACKAGE UNIT A,COSC-ATLAS-GA75PLUS,"AIR COMPRESSOR , ATLAS COPCO, MODEL GA75PLUS",COSC-Y06-01,MECH,NON SCE
JAS,8,PM-WPB-E&I AIR COMPRESSOR A K4010A,N,WPB-K4010A,WPB-AIR COMPRESSOR PACKAGE UNIT A,COSC-ATLAS-GA75PLUS,"AIR COMPRESSOR , ATLAS COPCO, MODEL GA75PLUS",COSC-M03-02,E&I,NON SCE
JAS,9,PM-WPB-E&I AIR COMPRESSOR A K4010A,N,WPB-K4010A,WPB-AIR COMPRESSOR PACKAGE UNIT A,COSC-ATLAS-GA75PLUS,"AIR COMPRESSOR , ATLAS COPCO, MODEL GA75PLUS",COSC-Y01-02,E&I,NON SCE
JAS,10,PM-WPB-MECH AIR COMPRESSOR A K4010A,N,WPB-K4010A,WPB-AIR COMPRESSOR PACKAGE UNIT A,COSC-ATLAS-GA75PLUS,"AIR COMPRESSOR , ATLAS COPCO, MODEL GA75PLUS",COSC-M03-01,MECH,NON SCE
JAS,11,PM-WPB-MECH AIR COMPRESSOR A K4010A,N,WPB-K4010A,WPB-AIR COMPRESSOR PACKAGE UNIT A,COSC-ATLAS-GA75PLUS,"AIR COMPRESSOR , ATLAS COPCO, MODEL GA75PLUS",COSC-M06-01,MECH,NON SCE
JAS,12,PM-WPB-MECH AIR COMPRESSOR A K4010A,N,WPB-K4010A,WPB-AIR COMPRESSOR PACKAGE UNIT A,COSC-ATLAS-GA75PLUS,"AIR COMPRESSOR , ATLAS COPCO, MODEL GA75PLUS",COSC-Y01-01,MECH,NON SCE
JAS,13,PM-WPB-MECH AIR COMPRESSOR A K4010A,N,WPB-K4010A,WPB-AIR COMPRESSOR PACKAGE UNIT A,COSC-ATLAS-GA75PLUS,"AIR COMPRESSOR , ATLAS COPCO, MODEL GA75PLUS",COSC-Y06-01,MECH,NON SCE
JAS,14,PM-PPB2-MECH MILTON ROY PUMP  PACKAGE -3 MONTHLY,Y,ROUTE-PPB2-CHIJ-PUPG,PPB2-CHEMICAL INJECTION SYSTEM,CHIJ,CHEMICAL INJECTION SYSTEM,PUPG-M03-02,MECH,NON SCE
JAS,15,PM-PPB2-MECH MILTON ROY PUMP  PACKAGE -6 MONTHLY,Y,ROUTE-PPB2-CHIJ-PUPG,PPB2-CHEMICAL INJECTION SYSTEM,CHIJ,CHEMICAL INJECTION SYSTEM,PUPG-M06-02,MECH,NON SCE
JAS,16,PM-PPB2-MECH-CLOSED DRAIN PUMP-2 WEEKLY,Y,ROUTE-PPB2-CLDR-PUPD,PPB2-CLOSED DRAINS SYSTEM-PUMP,CLDR,CLOSED DRAINS SYSTEM,PUPD-W02-01,MECH,NON SCE
JAS,17,PM-PPB2-MECH-CLOSED DRAIN PUMP-3 MONTHLY,Y,ROUTE-PPB2-CLDR-PUPD,PPB2-CLOSED DRAINS SYSTEM-PUMP,CLDR,CLOSED DRAINS SYSTEM,PUPD-M06-01,MECH,NON SCE
JAS,18,PM-WPA-E&I WELLHEAD CONTROL PANEL-6 MONTHLY,Y,ROUTE-WPA-WHCP,WPA-WELLHEAD CONTROL PANEL,WHCP,WELLHEAD CONTROL PANEL,WHCP-M06-01,E&I,NON SCE
JAS,19,PM-WPA-E&I WELLHEAD CONTROL PANEL-ANNUAL,Y,ROUTE-WPA-WHCP,WPA-WELLHEAD CONTROL PANEL,WHCP,WELLHEAD CONTROL PANEL,WHCP-Y01-01,E&I,NON SCE
JAS,20,PM-WPB-E&I & OSP PSV CONVENTIONAL-ANNUAL,Y,ROUTE-WPB-VASC,WPB-PSV-CONVENTIONAL TYPE,VASC,PSV-CONVENTIONAL,VASC-Y01-01,E&I,NON SCE
JAS,21,PM-WPB-E&I CHOKE VALVE-ANNUAL,Y,ROUTE-WPB-PDWH-VACO,WPB-PRODUCTION WELLHEAD -CHOKE VALVE,PDWH,PRODUCTION WELLHEAD,VACO-Y01-01,E&I,NON SCE
JAS,22,PM-WPB-MECH MILTON ROY B PUMP B PACKAGE -3 MONTHLY,Y,ROUTE-WPB-CHIJ-PUPG/B-2,WPB-CHEMICAL INJECTION SYSTEM-MILROYAL B PACKED PLUNGER PUMP,CHIJ,CHEMICAL INJECTION SYSTEM,PUPG-M03-02,MECH,NON SCE
JAS,23,PM-WPB-MECH MILTON ROY D PUMP PACKAGE -6 MONTHLY,Y,ROUTE-WPB-CHIJ-PUPG/D,WPB-CHEMICAL INJECTION SYSTEM-MILROYAL D PACKED PLUNGER PUMP,CHIJ,CHEMICAL INJECTION SYSTEM,PUPG-M06-02,MECH,NON SCE
JAS,24,PM-WPB-MECH-CLOSED DRAIN BOOSTER PUMP-2 WEEKLY,Y,ROUTE-WPB-CLDR-PUCE,WPB-CLOSED DRAINS SYSTEM-CLOSED DRAIN BOOSTER PUMP,CLDR,CLOSED DRAINS SYSTEM,PUCE-W02-01,MECH,NON SCE
JAS,25,PM-WPB-MECH-CLOSED DRAIN PUMP-2 WEEKLY,Y,ROUTE-WPB-CLDR-PURE,WPB-CLOSED DRAINS SYSTEM-CLOSED DRAIN PUMP,CLDR,CLOSED DRAINS SYSTEM,PURE-W02-01,MECH,NON SCE
JAS,26,PM-WPC-E&I CHOKE VALVE-ANNUAL,Y,ROUTE-WPC-PDWH-VACO,WPC-PRODUCTION WELLHEAD -CHOKE VALVE,PDWH,PRODUCTION WELLHEAD,VACO-Y01-01,E&I,NON SCE
JAS,27,PM-WPD-E&I CHOKE VALVE-ANNUAL,Y,ROUTE-WPD-PDWH-VACO,WPD-PRODUCTION WELLHEAD -CHOKE VALVE,PDWH,PRODUCTION WELLHEAD,VACO-Y01-01,E&I,NON SCE
